principal analysis set accession	annotation file accession	lab	pseudobulking status	processed date	missing annotations columns	uniform pipeline status
IGVFDS1636HNTZ	IGVFFI4329LOPX	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3008PTSF	IGVFFI4435PMLB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3246ALUP	IGVFFI4662NJFF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9226ISOO	IGVFFI5873KWLY	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2526XLXY	IGVFFI5583VFWY	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0282NUNE	IGVFFI9296WKYM	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9439VWMI	IGVFFI1246WERI	/labs/chongyuan-luo/	needs-fix	2026-07-23T21:34:58.808189+00:00		UNKNOWN
IGVFDS8778BGFX	IGVFFI4234BKTF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6652SNXT	IGVFFI4631LHVY	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5650GPHK	IGVFFI6653FHEI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3044ZQJM	IGVFFI5786VZZC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6746TEZV	IGVFFI0504JMVD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7108AHKU	IGVFFI4109WMUK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4233KREM	IGVFFI5270DVLJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3492UWOZ	IGVFFI6206WLHN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2950NJYI	IGVFFI4434LYVZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5333LMFV	IGVFFI6709FLBH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8535RPZB	IGVFFI5363WDJG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5679XVDZ	IGVFFI5629TEAY	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9076OYLW	IGVFFI1850XDHC	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4161FPFC	IGVFFI7784HABU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1044NDON	IGVFFI2177QZKT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0361ODMN	IGVFFI1828ZVNR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5966UKES	IGVFFI2218SHIM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3820HJHU	IGVFFI7499MZAQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3725NTWY	IGVFFI0557PTNN	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8929AFHI	IGVFFI1800VDKD	/labs/jason-buenrostro/	unattempted			completed
IGVFDS6306PZAT	IGVFFI7042ZUNE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6870KLAL	IGVFFI1515PKCA	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9554HYNZ	IGVFFI5478KGRP	/labs/ryan-corces/	unattempted			UNKNOWN
