principal analysis set accession	annotation file accession	lab	pseudobulking status	processed date	missing annotations columns	uniform pipeline status
IGVFDS0797HHER	IGVFFI3125GWKU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7470QXAY	IGVFFI7617FECX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4086SDZF	IGVFFI4435QTDL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5644MSUU	IGVFFI4122BDMH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4952ZTYY	IGVFFI8717UUNV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6131UGWU	IGVFFI9698EEOT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9913RZQA	IGVFFI4469JXEO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5527PQMS	IGVFFI6872ZFSO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1997XLVK	IGVFFI5379GAUQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0572EEKB	IGVFFI1694FFWX	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5831BFOJ	IGVFFI0403YKAE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4701MNUU	IGVFFI5729UKND	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0298GQOX	IGVFFI4079CSBV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1766CQDZ	IGVFFI8812FUII	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1139OXCS	IGVFFI1517ZYVI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8884JJSQ	IGVFFI2025IJSX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1142AYLM	IGVFFI3161AMCK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3279RVYJ	IGVFFI9664GSSV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0108ZVBZ	IGVFFI9559EALT	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9378MRVC	IGVFFI7862ZCNS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1130LPVT	IGVFFI4515IOSX	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7464GBYC	IGVFFI6608DKOT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4570XTOW	IGVFFI4416BSVE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1730SLPC	IGVFFI9056ZBNU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6197DQTJ	IGVFFI6846PMHP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5618VONW	IGVFFI7488YGQD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8115OZNU	IGVFFI5531HHBJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5995XFVE	IGVFFI4876TSDP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4646GHDF	IGVFFI0417JYUA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4860BKUF	IGVFFI5838LKWH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3824DPVQ	IGVFFI2157OYUG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6931IKII	IGVFFI4667REGP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1274RRUR	IGVFFI5536IBQW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9191ODVF	IGVFFI1750VRKH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5875AFXS	IGVFFI0871VUQX	/labs/ansuman-satpathy/	needs-fix	2026-06-04T00:48:15.545788+00:00	barcode_sample,cell_description,CL_id,analysis_set_accession,cell_name,subsample,CL_term_name	UNKNOWN
IGVFDS3170EFZC	IGVFFI3497FLMS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9925OXXS	IGVFFI7618DLNA	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3869VSBN	IGVFFI9335YJSJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0964NWDL	IGVFFI9882MWSO	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1816ZART	IGVFFI5270OYAY	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6696NDHS	IGVFFI3416EIBQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3215JRTM	IGVFFI8864DYHR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3848JRDZ	IGVFFI0878CGYD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8384EYPN	IGVFFI9349IIRT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7303VQEG	IGVFFI5615YQPQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4293JHVU	IGVFFI3157VKJX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1006UOWL	IGVFFI7127GKQZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5556AJYX	IGVFFI8993RZKH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7894HZUJ	IGVFFI6161MLAI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1026ULML	IGVFFI7042FXHR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5054GULQ	IGVFFI7563WFTM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0937CSAT	IGVFFI7601UIJD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5786GFDC	IGVFFI3313EDAN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0931BCQK	IGVFFI1133MOUO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7256QAYY	IGVFFI9974RKXM	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0457QFAM	IGVFFI3311GMNH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3824EJZQ	IGVFFI1347ECYU	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8157HBWM	IGVFFI8269DNFN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7092GPQR	IGVFFI5991ALBK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4060LCEP	IGVFFI8818GPSH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9249BUOF	IGVFFI0005HRPV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2341TBVG	IGVFFI7686ALRX	/labs/jason-buenrostro/	unattempted			completed
IGVFDS8135IXYF	IGVFFI7171OZBE	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8677YQYQ	IGVFFI8809JPKM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5530DNBW	IGVFFI0993BVHZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9365TYWC	IGVFFI3954JJDN	/labs/jason-buenrostro/	unattempted			completed
IGVFDS8692JVTD	IGVFFI3963CDGY	/labs/ansuman-satpathy/	needs-fix	2026-07-31T20:49:22.168505+00:00	barcode_sample,cell_description,CL_id,analysis_set_accession,cell_name,subsample,CL_term_name	UNKNOWN
IGVFDS0527IPKX	IGVFFI6141UMZJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6783SHDU	IGVFFI5683RMTJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8328CWWK	IGVFFI9868VNYO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3767UTDU	IGVFFI4839SATB	/labs/jason-buenrostro/	unattempted			completed
IGVFDS8654OJRS	IGVFFI0878ATKE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3952WFCG	IGVFFI9442RQPZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4861RFRQ	IGVFFI5034GSWN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1857UZFX	IGVFFI1400KZCA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3606BNDF	IGVFFI1432VQDS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7786JSWZ	IGVFFI6925DKKL	/labs/ansuman-satpathy/	needs-fix	2026-05-07T15:27:42.458585+00:00	barcode_sample,cell_description,CL_id,analysis_set_accession,cell_name,subsample,CL_term_name	UNKNOWN
IGVFDS1665GNSJ	IGVFFI9020EXHU	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4526USVL	IGVFFI9208AUAF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0739FYII	IGVFFI1265MSPU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5764UORX	IGVFFI8540DOVF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9261GRUR	IGVFFI8562GNEW	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5211NUVL	IGVFFI6277MGQT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4107HSYD	IGVFFI3386ELZG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2352FNSG	IGVFFI7557BBCN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4824ZKGW	IGVFFI4055FCNM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8174AAYU	IGVFFI6811NJLW	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9510PRNJ	IGVFFI1686VAMY	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1568LYLT	IGVFFI6457FICR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8193TWPC	IGVFFI1477UOAR	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9329CSNK	IGVFFI0684ZTTN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4687BFJT	IGVFFI4068NZIO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4756QGVV	IGVFFI1169FSAB	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8434NQTG	IGVFFI8119VIRB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0086FNZC	IGVFFI7571EQAR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7207OXLH	IGVFFI5874HGUB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1553TYTX	IGVFFI1980NOSA	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7651ZYRO	IGVFFI8073OYPU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7119DIHX	IGVFFI0248TXWM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1046JFBH	IGVFFI7811QGHC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6878VVKF	IGVFFI2107SBEE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3404RQRW	IGVFFI4575ENSK	/labs/ansuman-satpathy/	needs-fix	2026-07-31T20:52:58.084305+00:00	CL_term_name,cell_name,CL_id,analysis_set_accession,cell_description,barcode_sample	UNKNOWN
IGVFDS5534DIUV	IGVFFI8821TMGW	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5703RZTQ	IGVFFI5490VOOA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5986CUOS	IGVFFI2703JAAS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3517VFQK	IGVFFI7199VICA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3309ZYXO	IGVFFI1732SDSN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7524WJJT	IGVFFI1664XWXM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7547DCHE	IGVFFI1614WGIR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4633TQVO	IGVFFI2266YZWK	/labs/jason-buenrostro/	unattempted			completed
IGVFDS3344MOSA	IGVFFI5839CZAI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4571OVXW	IGVFFI9469LJLF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4417DSDP	IGVFFI8632HWEX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3800WWME	IGVFFI7278JZQN	/labs/jason-buenrostro/	unattempted			completed
IGVFDS4024KRUY	IGVFFI4770UZDX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3332CTYP	IGVFFI4217YRRN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8680AGWZ	IGVFFI2036CJXR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7664USPN	IGVFFI9015RPOB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5789TYVJ	IGVFFI7198SYSK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1170FKEK	IGVFFI5779EECO	/labs/ansuman-satpathy/	needs-fix	2026-05-07T17:28:29.005476+00:00	cell_name,CL_term_name,CL_id,barcode_sample,analysis_set_accession,subsample,cell_description	UNKNOWN
IGVFDS9981DTFS	IGVFFI4526YDYS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6745WNUH	IGVFFI2607KQZS	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7758UZTY	IGVFFI1395MBVZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9237AKNN	IGVFFI4664KRTI	/labs/ansuman-satpathy/	needs-fix	2026-07-31T20:38:40.169386+00:00	subsample,CL_term_name,cell_name,cell_description,analysis_set_accession,barcode_sample,CL_id	UNKNOWN
IGVFDS0178VKDP	IGVFFI1587ZYXR	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7040QKCT	IGVFFI7055QNPD	/labs/ali-mortazavi/	unattempted			completed
IGVFDS6425ZERN	IGVFFI7254YBEH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS6799JBGG	IGVFFI9154UXZV	/labs/ansuman-satpathy/	needs-fix	2026-08-04T21:46:07.845785+00:00	barcode_sample,cell_description,CL_id,subsample,analysis_set_accession,CL_term_name,cell_name	UNKNOWN
IGVFDS8481FAAR	IGVFFI5779MEET	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7039GRZR	IGVFFI9073XCJB	/labs/ansuman-satpathy/	needs-fix	2026-06-04T00:52:53.949734+00:00	analysis_set_accession,cell_name,barcode_sample,cell_description,CL_id,CL_term_name,subsample	UNKNOWN
IGVFDS2515KFVI	IGVFFI4622QYQZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1709EDDP	IGVFFI8872OILQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0041YBVJ	IGVFFI8591KAMD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1975LSCO	IGVFFI1253HPEV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1528OIIL	IGVFFI9454XODL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0592QTIA	IGVFFI1350YJKF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6809PMWP	IGVFFI2065IJIG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9506WULP	IGVFFI3159TICV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6173KZUG	IGVFFI2250ZLKM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1105KTIQ	IGVFFI5734YAMC	/labs/ansuman-satpathy/	needs-fix	2026-07-31T20:22:26.091411+00:00	CL_id,CL_term_name,barcode_sample,cell_name,subsample,cell_description,analysis_set_accession	UNKNOWN
IGVFDS0229XSFM	IGVFFI2957JPQO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8224KTIL	IGVFFI2943VCPK	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9314FSBL	IGVFFI8202CMVL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3293NAHS	IGVFFI9594MHEK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0882CLQQ	IGVFFI8078UDPY	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1747VRWJ	IGVFFI9419UAWG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1028VSJQ	IGVFFI3706CVXW	/labs/danwei-huangfu/	unattempted			
IGVFDS2036KAYU	IGVFFI8541QPYY	/labs/bing-ren/	needs-fix	2026-07-30T05:41:55.572861+00:00		UNKNOWN
IGVFDS6718MRBP	IGVFFI6868VCSO	/labs/jason-buenrostro/	needs-fix	2026-08-27T20:15:10.256945+00:00		completed
IGVFDS0294NWHB	IGVFFI4807QILE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6998JVAX	IGVFFI5856SNXP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9112VUDF	IGVFFI8650MUCX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3268OMJN	IGVFFI9023NKZM	/labs/kathrin-plath/	needs-fix	2026-07-23T21:34:58.808189+00:00		UNKNOWN
IGVFDS0584FVMW	IGVFFI9234UQBZ	/labs/ansuman-satpathy/	needs-fix	2026-07-31T21:17:30.813670+00:00	CL_term_name,cell_name,cell_description,analysis_set_accession,barcode_sample,subsample,CL_id	UNKNOWN
IGVFDS3549FUQU	IGVFFI9326YGBL	/labs/ansuman-satpathy/	needs-fix	2026-06-04T00:49:02.424364+00:00	cell_description,analysis_set_accession,CL_term_name,barcode_sample,subsample,CL_id,cell_name	UNKNOWN
